0;;;;
1;a;A
2;b;B
3;c;C
4;d;D
5;e;E
6;f;F
7;g;G
8;h;H
9;i;I
10;j;J
11;k;K
12;l;L
13;m;M
14;n;N
15;o;O
16;p;P
17;q;Q
18;r;R
19;s;S
20;t;T
21;u;U
22;v;V
23;w;W
24;x;X
25;y;Y
26;z;Z
27;aa;AA
28;ab;AB
29;ac;AC
30;ad;AD
31;ae;AE
32;af;AF
33;ag;AG
34;ah;AH
35;ai;AI
36;aj;AJ
37;ak;AK
38;al;AL
39;am;AM
40;an;AN
41;ao;AO
42;ap;AP
43;aq;AQ
44;ar;AR
45;as;AS
46;at;AT
47;au;AU
48;av;AV
49;aw;AW
50;ax;AX
51;ay;AY
52;az;AZ
53;ba;BA
54;bb;BB
55;bc;BC
56;bd;BD
57;be;BE
58;bf;BF
59;bg;BG
60;bh;BH
61;bi;BI
62;bj;BJ
63;bk;BK
64;bl;BL
65;bm;BM
66;bn;BN
67;bo;BO
68;bp;BP
69;bq;BQ
70;br;BR
71;bs;BS
72;bt;BT
73;bu;BU
74;bv;BV
75;bw;BW
76;bx;BX
77;by;BY
78;bz;BZ
79;ca;CA
80;cb;CB
81;cc;CC
82;cd;CD
83;ce;CE
84;cf;CF
85;cg;CG
86;ch;CH
87;ci;CI
88;cj;CJ
89;ck;CK
90;cl;CL
91;cm;CM
92;cn;CN
93;co;CO
94;cp;CP
95;cq;CQ
96;cr;CR
97;cs;CS
98;ct;CT
99;cu;CU
100;cv;CV
101;cw;CW
102;cx;CX
103;cy;CY
104;cz;CZ
105;da;DA
106;db;DB
107;dc;DC
108;dd;DD
109;de;DE
110;df;DF
111;dg;DG
112;dh;DH
113;di;DI
114;dj;DJ
